Year,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
2017,New Zealand,Australia and New Zealand,8,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.6140621304512021,0.38281670212745705,0.500005125999451
2017,Sweden,Western Europe,9,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.384398728609085,0.38539925217628496
2017,Australia,Australia and New Zealand,10,7.28399991989136,1.4844149351120002,1.5100419521331798,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834
2018,Finland,Western Europe,1,7.6320000000000014,1.305,1.592,0.8740000000000001,0.6809999999999999,0.393,0.202
2018,Norway,Western Europe,2,7.5939999999999985,1.456,1.582,0.861,0.6859999999999999,0.34,0.28600000000000003
2018,Denmark,Western Europe,3,7.555,1.351,1.59,0.868,0.6829999999999999,0.408,0.284
2018,Iceland,Western Europe,4,7.495,1.3430000000000002,1.644,0.914,0.677,0.138,0.353
2018,Switzerland,Western Europe,5,7.487,1.42,1.5490000000000002,0.927,0.66,0.35700000000000004,0.256
2018,Netherlands,Western Europe,6,7.441,1.361,1.4880000000000002,0.878,0.638,0.295,0.333
2018,Canada,North America,7,7.3279999999999985,1.33,1.5319999999999998,0.8959999999999999,0.653,0.29100000000000004,0.321
2018,New Zealand,Australia and New Zealand,8,7.324,1.268,1.601,0.8759999999999999,0.669,0.389,0.365
2018,Sweden,Western Europe,9,7.314,1.355,1.501,0.913,0.659,0.383,0.285
2018,Australia,Australia and New Zealand,10,7.272,1.34,1.5730000000000002,0.91,0.647,0.302,0.361
2019,Finland,Western Europe,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153
2019,Denmark,Western Europe,2,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.41,0.252
2019,Norway,Western Europe,3,7.5539999999999985,1.4880000000000002,1.582,1.028,0.603,0.341,0.271
2019,Iceland,Western Europe,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354
2019,Netherlands,Western Europe,5,7.487999999999999,1.396,1.5219999999999998,0.999,0.557,0.298,0.322
2019,Switzerland,Western Europe,6,7.48,1.452,1.526,1.052,0.5720000000000001,0.343,0.263
2019,Sweden,Western Europe,7,7.343,1.3869999999999998,1.487,1.009,0.574,0.373,0.267
2019,New Zealand,Australia and New Zealand,8,7.307,1.3030000000000002,1.557,1.026,0.585,0.38,0.33
2019,Canada,North America,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285
2019,Austria,Western Europe,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244
2015,Chad,Sub-Saharan Africa,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386
2015,Guinea,Sub-Saharan Africa,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657
2015,Ivory Coast,Sub-Saharan Africa,151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922000000000002,0.20165
2015,Burkina Faso,Sub-Saharan Africa,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832000000000002,0.21747
2015,Afghanistan,Southern Asia,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651
2015,Rwanda,Sub-Saharan Africa,154,3.465,0.22208000000000006,0.7737,0.42864,0.59201,0.55191,0.22628
2015,Benin,Sub-Saharan Africa,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826
2015,Syria,Middle East and Northern Africa,156,3.006,0.6632,0.47489,0.7219300000000001,0.15684,0.18906,0.47179
2015,Burundi,Sub-Saharan Africa,157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727
2015,Togo,Sub-Saharan Africa,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681
2016,Madagascar,Sub-Saharan Africa,148,3.695,0.27954,0.46115,0.37109,0.13684000000000002,0.07506,0.2204
2016,Tanzania,Sub-Saharan Africa,149,3.666,0.47155,0.77623,0.35700000000000004,0.3176,0.05099,0.31472
2016,Liberia,Sub-Saharan Africa,150,3.622,0.10706,0.50353,0.23165,0.25748000000000004,0.04852,0.24063
2016,Guinea,Sub-Saharan Africa,151,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914
2016,Rwanda,Sub-Saharan Africa,152,3.515,0.32846,0.6158600000000001,0.31865,0.5432,0.50521,0.23552
2016,Benin,Sub-Saharan Africa,153,3.484,0.39499,0.10419,0.21028,0.39747,0.06681000000000001,0.2018
2016,Afghanistan,Southern Asia,154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268
2016,Togo,Sub-Saharan Africa,155,3.303,0.28123000000000004,0.0,0.24811,0.34678000000000003,0.11587,0.17517
2016,Syria,Middle East and Northern Africa,156,3.069,0.7471899999999999,0.14866,0.6299399999999999,0.06912,0.17232999999999998,0.48397
2016,Burundi,Sub-Saharan Africa,157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029
2017,Yemen,Middle East and Northern Africa,146,3.59299993515015,0.5916834473609921,0.93538224697113,0.310080915689468,0.24946372210979506,0.0567674227058887,0.104125209152699
2017,South Sudan,Sub-Saharan Africa,147,3.5910000801086404,0.39724862575531,0.601323127746582,0.163486003875732,0.147062435746193,0.116793513298035,0.285670816898346
2017,Liberia,Sub-Saharan Africa,148,3.532999992370609,0.119041793048382,0.8721179366111759,0.229918196797371,0.33288118243217496,0.0389482490718365,0.26654988527298
2017,Guinea,Sub-Saharan Africa,149,3.50699996948242,0.24454993009567305,0.7912446856498722,0.194129139184952,0.348587512969971,0.110937617719173,0.264815092086792
2017,Togo,Sub-Saharan Africa,150,3.4949998855590803,0.3054447174072269,0.4318825304508211,0.247105568647385,0.38042613863945,0.0956650152802467,0.19689615070819896
2017,Rwanda,Sub-Saharan Africa,151,3.47099995613098,0.368745893239975,0.945707023143768,0.326424807310104,0.5818438529968261,0.455220013856888,0.2527560293674469
2017,Syria,Middle East and Northern Africa,152,3.46199989318848,0.777153134346008,0.396102607250214,0.5005333423614501,0.0815394446253777,0.15134713053703305,0.493663728237152
2017,Tanzania,Sub-Saharan Africa,153,3.34899997711182,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.0660351067781448,0.354256361722946
2017,Burundi,Sub-Saharan Africa,154,2.90499997138977,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,0.0841479450464249,0.20443518459796894
2017,Central African Republic,,155,2.69300007820129,0.0,0.0,0.0187726859003305,0.270842045545578,0.0565650761127472,0.280876487493515
2018,Malawi,Sub-Saharan Africa,147,3.587,0.18600000000000005,0.541,0.306,0.531,0.08,0.21
2018,Haiti,Latin America and Caribbean,148,3.582,0.315,0.7140000000000001,0.289,0.025,0.104,0.392
2018,Liberia,Sub-Saharan Africa,149,3.495,0.076,0.858,0.267,0.419,0.03,0.206
2018,Syria,Middle East and Northern Africa,150,3.462,0.6890000000000001,0.382,0.539,0.08800000000000001,0.14400000000000002,0.376
2018,Rwanda,Sub-Saharan Africa,151,3.408,0.332,0.8959999999999999,0.4,0.636,0.444,0.2
2018,Yemen,Middle East and Northern Africa,152,3.355,0.442,1.073,0.343,0.244,0.064,0.083
2018,Tanzania,Sub-Saharan Africa,153,3.303,0.455,0.991,0.381,0.481,0.097,0.27
2018,South Sudan,Sub-Saharan Africa,154,3.254,0.337,0.608,0.177,0.112,0.106,0.224
2018,Central African Republic,,155,3.083,0.024,0.0,0.01,0.305,0.038,0.218
2018,Burundi,Sub-Saharan Africa,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149
2019,Haiti,Latin America and Caribbean,147,3.597,0.32299999999999995,0.688,0.449,0.026,0.11,0.419
2019,Botswana,Sub-Saharan Africa,148,3.488,1.041,1.145,0.5379999999999999,0.455,0.1,0.025
2019,Syria,Middle East and Northern Africa,149,3.462,0.619,0.378,0.44,0.013,0.141,0.331
2019,Malawi,Sub-Saharan Africa,150,3.41,0.191,0.56,0.495,0.443,0.08900000000000001,0.218
2019,Yemen,Middle East and Northern Africa,151,3.38,0.287,1.163,0.463,0.14300000000000002,0.077,0.108
2019,Rwanda,Sub-Saharan Africa,152,3.334,0.359,0.711,0.614,0.555,0.411,0.217
2019,Tanzania,Sub-Saharan Africa,153,3.2310000000000003,0.476,0.885,0.499,0.417,0.147,0.276
2019,Afghanistan,Southern Asia,154,3.2030000000000003,0.35,0.517,0.361,0.0,0.025,0.158
2019,Central African Republic,,155,3.083,0.026,0.0,0.105,0.225,0.035,0.235
2019,South Sudan,Sub-Saharan Africa,156,2.853,0.306,0.575,0.295,0.01,0.091,0.202
